#Energy,RotationalExc,Elastic,Ionisation,ElectronicExc,Attachment,VibrationalExc
0.1,1414,172.4,0,0,0,0
0.15,1008,121,0,0,0,0
0.2,789.6,97.44,0,0,0,0
0.3,557.2,65.32,0,0,0,0
0.4,436.8,50.62,0,0,0,0
0.5,358.4,42.81,0,0,0,0
0.7,268.24,34.3,0,0,0,0
0.9,220.266667,34.3,0,0,47.56,0
1,196.28,34.43,0,0,7.27,0
1.3,161,31,0,0,13.3,0
1.33,157.472,30,0,0,34.7,0
1.4,149.24,30,0,0,4,6
1.5,137.48,29.95,0,0,0,10.62
2,106.4,29.31,0,0,0,4.26
3,74.2,32.46,0,0,0,12.2
4,57.4,35.74,0,7.97,0,7
5,47.04,38.87,0,19.3,0,0
7,34.72,49.62,0,13.96,0,0
10,25.144,54.85,0.255,11.965,0,0
15,17.416,47.88,1.85,8.23,0,0
20,13.412,42.28,4.55,8.47,0,0
30,9.268,35.56,9.95,5.22,0,0
40,7.112,31.64,12.5,4.79,0,0
50,5.796,28.84,13.5,4.23,0,0
70,4.256,24.92,14.25,3.22,0,0
90,3.388,22.4,14.5,2.27,0,0
100,3.052,21.42,14.5,1.79,0,0
