37 4 KTC
                  0.3e6        0.5e6         1e6           1.5e6          
   0            0.5520678    0.2607249    0.1121766       0.06518489
   5             0.468323    0.2329803   0.08965775       0.06551065
  10            0.4370143    0.2161138    0.0795438       0.06598265
  15             0.412245    0.2114926   0.07565275       0.06659663
  20            0.3936911    0.2085284   0.07456688       0.06755669
  25            0.3807497    0.2097084   0.07728901       0.07952307
  30             0.368599     0.210801   0.08181892       0.08185991
  35             0.356135    0.2119821   0.08650336       0.07383041
  40            0.3384288    0.2108978   0.09104833       0.07833324
  45            0.3117006    0.2052321   0.09458496       0.08206441
  50            0.2952049    0.1954613   0.09553275       0.08516501
  55            0.2722985     0.183027   0.09458953       0.08758355
  60            0.2470158    0.1716967   0.09217842       0.08998997
  65            0.2226634    0.1598794   0.08878138       0.09401614
  70            0.2006198    0.1483998   0.08379857       0.09717398
  75            0.1815047     0.132699   0.07819266       0.09770805
  80            0.1611256     0.124038   0.07238578       0.09142901
  85            0.1432582    0.1162925    0.0675466       0.08125317
  90            0.1294046    0.1100606    0.0610629       0.07343709
  95            0.1147084    0.1018639      0.05698       0.06226818
 100             0.102218    0.0948857   0.05316477       0.05636827
 105            0.0926593    0.0890793    0.0499393       0.05138765
 110            0.0859573    0.0839078   0.04678908       0.04798052
 115           0.08158799   0.07924181     0.044101       0.04494244
 120            0.0780058   0.07550973   0.04118094       0.04187475
 125           0.07533461    0.0712272    0.0387542       0.03996797
 130           0.07562004    0.0682204     0.036517       0.03917094
 135            0.0757011    0.0653002   0.03459367       0.03828166
 140           0.07620238    0.0624041    0.0334811       0.03773587
 145             0.076155   0.06098164    0.0323671       0.03759428
 150           0.07670493   0.05973481    0.0319646       0.03744646
 155            0.0776621   0.03731402         0              0
 160           0.07844403   0.03726841         0    	      0
 165            0.0801347   0.03746602         0    	      0
 170           0.08126014    0.0374103         0    	      0
 175             0.081682   0.03748383         0    	      0
 180           0.08159393   0.03744834         0    	      0
