# Energy  Elastic      Ionisation   ElectronicExc   Dissociation  VibrationalExc  RotationalExc  Positronium    Annihilation  factor_gl
0.004     100           0          0                 0               0             0             0              20            7.57111982E-02
0.0115    100           0          0                 0               0             0             0              20            7.57111982E-02
0.1	  36.68   	0	   0		     0		     0		   599.2	 0	        0.9691465106  7.57111982E-02
0.15	  31.36   	0	   0		     0		     0		   445.2	 0		0.8494497743  7.57111982E-02
0.2	  27.44   	0	   0		     0		     0.01	   358.4	 0		0.7076598881  7.57111982E-02
0.3	  21.868  	0	   0		     0		     2.15	   262.08	 0		0.48800411    7.57111982E-02
0.4	  18.144  	0	   0		     0		     4.9	   208.88	 0		0.3526143985  7.57111982E-02
0.5	  15.484  	0	   0		     0		     5.6	   174.44	 0		0.267379161   7.57111982E-02
0.7	  12.6    	0	   0		     0		     0.59	   132.72	 0		0.1712374867  7.57111982E-02
1	  10.472  	0	   0		     0		     0.842	   99.12	 0		0.1041658647  7.57111982E-02
1.5	  8.148   	0	   0		     0		     0.625	   70.56	 0		0.0581190721  9.94253010E-02
2	  6.804   	0	   0		     0		     0.486	   55.44	 0		0.0381443321  0.120978996   
3	  5.46    	0	   0		     0		     0.468	   39.2		 0		0.0209470086  0.160930201   
4	  4.788   	0	   0		     0		     0.522	   30.52	 0		0.0136559005  0.200000003   
5	  4.368   	0	   0		     0		     0.582	   25.256	 0		0.0097904574  0.238620698   
6	  4       	0	   0		     0		     0.52	   21.5	         7.50E-01	0.0074566125  0.300869375   
7	  3.78    	0	   0.01		     0		     0.691	   18.844	 1.45E+00	0	      0.378553510   
10	  2.856   	0	   0.14		     0		     0.503	   13.804	 2.42E+00	0	      0.482533157   
12	  2.6     	0.01	   0.3		     0		     0.4	   12		 2.66E+00	0	      0.556112528   
15	  2.2624  	0.133	   0.5546112895	     1.6779887105    0.32	   9.66		 2.92E+00	0	      0.664263189   
20	  2.492   	0.4596	   0.6558658403	     2.7785341597    0.18	   7.476	 2.73E+00	0	      0.757251978   
30	  2.8     	1.0868	   0.3898951809	     3.1633048191    0.08	   5.208	 2.28E+00	0	      0.840105414   
40	  2.8     	1.5293	   0.4476854598	     2.9320145402    0.045	   4.032	 1.71E+00	0	      0.944591582   
50	  2.6264  	1.862	   0.3742556391	     2.5905443609    0.0288	   3.304	 1.31E+00	0	      0.990460932   
60	  2.4     	2	   0.35		     2.3	     0.02	   2.4		 1.09		0	      0.9945    
70	  2.1364  	2.1476	   0.3299781628	     2.0297218372    0.0147	   2.4416	 0.644		0	      0.999145806   
100	  1.6464  	2.3128	   0.3037910353	     1.2402089647    0.0072	   1.7696	 0.28		0	      0.999854922   
150	  1.2208  	2.1616	   0.1978138764	     0.8521861236    0		   1.2236	 0.084		0	      0.999989808   
200	  0.98    	1.9404	   0.1329661234	     0.6734338766    0		   0.9436	 0.0336		0	      0.999998569   
300	  0.7084  	1.6072	   0.0693051424	     0.4514948576    0		   0.6524	 0.0112		0	      0.999999702   
400	  0.56    	1.3664	   0.0422782643	     0.3525217357    0		   0.5012	 0.0056		0	      1   
500	  0.4648  	1.2012	   0.0281861456	     0.2900138544    0		   0.4088	 0.001		0	      1    
700	  0.35    	0.9268	   0.0136911393	     0.2495088607    0		   0.2996	 0		0	      1    
1000	  0.25984 	0.7112	   0.0066577713	     0.1868222287    0		   0.21588	 0		0	      1    
2000	  0.14504 	0.406	   0.0017098771	     0.1063701229    0		   0.11368	 0		0	      1    
3000	  0.10304 	0.294	   0.0007793564	     0.0700606436    0		   0.07812	 0		0	      1    
4000	  0.08064 	0.2366	   0.0005227073	     0.0451172927    0		   0.05992	 0		0	      1    
5000	  0.06664 	0.19656	   0.0002886507	     0.0321913493    0		   0.04872	 0		0	      1    
7000	  0.04984 	0.138	   0.0001397859	     0.0326602141    0		   0.03556	 0		0	      1    
10000     0.0364  	0.103	   6.870555E-05	     0.0198512944    0		   0.02548	 0		0	      1    
10000 	  0.03612       0.103      6.8705555556E-5   0.0198512944    0         	   0.00812    	  0           0             1
15000     0.051805      0.072842      2.824E-05      0               0           0.0179629755998  0          0             1    
20000     0.0396456     0.0571768     2.016E-05      0               0           0.01409990751592 0          0             1    
30000     0.0275607     0.0408842     1.304E-05      0               0           0.01008212139998 0          0             1    
40000     0.02116678    0.0324196     1.056E-05      0               0           0.00799473495724 0          0             1    
50000     0.01743518    0.027217      8.64E-06       0               0           0.0067117639123  0          0             1    
70000     0.0131        0.0212        6.88E-06       0               0           0.00522796028    0          0             1    
100000    0.00991704    0.0164454     4.48E-06       0               0           0.00405546688626 0          0             1    
150000    0.00744746    0.0127352     3.28E-06       0               0           0.00314052451688 0          0             1    
200000    0.00621678    0.0108672     2.16E-06       0               0           0.00267987216768 0          0             1    
300000    0.00499188    0.0090207     1.68E-06       0               0           0.00222452175933 0          0             1    
400000    0.00435594    0.0081276     1.4E-06        0               0           0.00200428160244 0          0             1    
500000    0.0039709     0.00761634    1.336E-06      0               0           0.00187820391505 0          0             1    
700000    0.00352       0.00713       1.16E-06       0               0           0.001758271547   0          0             1    
1000000   0.00315582    0.00672364    1.12E-06       0               0           0.00165806239892 0          0             1    
1500000   0.00286458    0.00652098    1.056E-06      0               0           0.00160808605786 0          0             1    
2000000   0.00270826    0.00645072    9.52E-07       0               0           0.00159075980837 0          0             1    
3000000   0.00255346    0.00639848    8.32E-07       0               0           0.00157787732511 0          0             1    
4000000   0.0024736     0.00636196    7.68E-07       0               0           0.00156887142372 0          0             1  



