# Energy  Elastic      Ionisation   ElectronicExc   Dissociation  VibrationalExc  RotationalExc  Positronium            factor_gl     
0.1   	  9.548252      0	    0	       	    0	    	  0	  	  602	   	      0	               7.57111982E-02    
0.15  	  9.637488      0	    0	       	    0	    	  0	  	  445.2	   	      0	       	       7.57111982E-02
0.2   	  9.637488      0	    0	       	    0	    	  0	  	  358.4	   	      0	       	       7.57111982E-02
0.3   	  10.440612     0	    0	       	    0	    	  0	  	  262.36	      0	               7.57111982E-02
0.4   	  10.351376     0	    0	       	    0	    	  0	  	  208.88	      0	               7.57111982E-02
0.5   	  10.172904     0	    0	       	    0	    	  2.25	  	  174.72	      0	               7.57111982E-02
0.7   	  9.994432      0	    0	       	    0	    	  1.9	  	  133	   	      0	       	       7.57111982E-02
1     	  9.548         0	    0	       	    0	    	  0.87	  	  79.24	   	      0	       	       7.57111982E-02
1.5   	  6.776         0	    0	       	    0	    	  0.625	  	  53.2	   	      0	       	       9.94253010E-02
2     	  5.264         0	    0	       	    0	    	  0.52	  	  40.04	   	      0	       	       0.120978996   
3     	  3.836         0	    0	       	    0	    	  0.47	  	  26.684	      0	               0.160930201   
4     	  3.192         0	    0	       	    0	    	  0.535	  	  20.02	   	      0	       	       0.200000003   
5     	  2.828         0	    0	       	    0	    	  0.59	  	  16.044	      0	               0.238620698   
6     	  2.6           0	    0	       	    0	    	  0.63	  	  13.5	   	      7.50E-01         0.300869375   
7     	  2.4304        0	    0.01	    0	       	  0.685	  	  11.464824  	      1.45E+00         0.378553510   
10    	  1.9124        0	    0.14	    0	       	  0.505	  	  8.008	   	      2.66E+00         0.482533157   
13.5  	  1.8           0	    0.3	       	    0	    	  0.4	  	  7.5	   	      2.8	       0.556112528    
15    	  1.7248        0.133	    0.5546112895    1.9643887105  0.32	  	  5.348	   	      2.92E+00         0.664263189   
20    	  1.7892        0.4596	    0.6558658403    2.3425341597  0.18	  	  4.004	   	      2.73E+00         0.757251978   
30    	  1.8368        1.0868	    0.3898951809    2.3193048191  0.08	  	  2.66	   	      2.28E+00         0.840105414   
40    	  1.778         1.5293	    0.4476854598    1.9690145402  0.045	  	  2.016	   	      1.71E+00         0.944591582   
50    	  1.6856        1.862	    0.3742556391    1.6997443609  0.0288	  1.596	   	      1.30E+00         0.990460932   
70    	  1.4952        2.1476	    0.3299781628    1.4452302007  0.0147	  1.148	   	      0.6691916365     0.999145806   
100   	  1.2628        2.3128	    0.3037910353    1.0555648317  0.0072	  0.812	   	      0.247844133      0.999854922   
150   	  0.9884        2.1616	    0.1978138764    0.7524554673  0	  	  0.532	   	      0.0801306563     0.999989808   
200   	  0.812         1.9404	    0.1329661234    0.6234698266  0	  	  0.4032	      0.03596405       0.999998569    
300   	  0.6048        1.6072	    0.0693051424    0.448267296   0	  	  0.266	   	      0.0116275616     0.999999702   
400   	  0.4872        1.3664	    0.0422782643    0.3557030812  0	  	  0.2016	      0.0052186545     1.00000000     
500   	  0.4088        1.2012	    0.0281861456    0.2854104678  0	  	  0.1596	      0.0028033866     1.00000000     
700   	  0.3164        0.9268	    0.0136911393    0.2456105005  0	  	  0.1148	      0.0010983602     1.00000000     
1000  	  0.23828       0.7112	    0.0066577713    0.1861354362  0	  	  0.0812	      0.0004067925     1.00000000     
2000  	  0.13748       0.406	    0.0017098771    0.1074901229  0	  	  0.0392	      0	               1.00000000    
3000  	  0.09912       0.294	    0.0007793564    0.0692206436  0	  	  0.028	   	      0	       	       1.00000000    
4000  	  0.0784        0.2366	    0.0005227073    0.0456772927  0	  	  0.0196	      0	               1.00000000    
5000  	  0.06524       0.19656	    0.0002886507    0.0344313493  0	  	  0.01596	      0	               1.00000000    
7000  	  0.04928       0.138	    0.0001397859    0.0326602141  0	  	  0.01148	      0	               1.00000000    
10000 	  0.03612       0.103       6.8705555556E-5 0.0198512944  0         	  0.00812    	      0                1.00000000    
15000     0.051805      0.072842      2.824E-05      0            0               0.0179629755998     0                1.00000000    
20000     0.0396456     0.0571768     2.016E-05      0            0               0.01409990751592    0                1.00000000    
30000     0.0275607     0.0408842     1.304E-05      0            0               0.01008212139998    0                1.00000000    
40000     0.02116678    0.0324196     1.056E-05      0            0               0.00799473495724    0                1.00000000    
50000     0.01743518    0.027217      8.64E-06       0            0               0.0067117639123     0                1.00000000    
70000     0.0131        0.0212        6.88E-06       0            0               0.00522796028       0                1.00000000    
100000    0.00991704    0.0164454     4.48E-06       0            0               0.00405546688626    0                1.00000000    
150000    0.00744746    0.0127352     3.28E-06       0            0               0.00314052451688    0                1.00000000    
200000    0.00621678    0.0108672     2.16E-06       0            0               0.00267987216768    0                1.00000000    
300000    0.00499188    0.0090207     1.68E-06       0            0               0.00222452175933    0                1.00000000    
400000    0.00435594    0.0081276     1.4E-06        0            0               0.00200428160244    0                1.00000000    
500000    0.0039709     0.00761634    1.336E-06      0            0               0.00187820391505    0                1.00000000    
700000    0.00352       0.00713       1.16E-06       0            0               0.001758271547      0                1.00000000    
1000000   0.00315582    0.00672364    1.12E-06       0            0               0.00165806239892    0                1.00000000    
1500000   0.00286458    0.00652098    1.056E-06      0            0               0.00160808605786    0                1.00000000    
2000000   0.00270826    0.00645072    9.52E-07       0            0               0.00159075980837    0                1.00000000    
3000000   0.00255346    0.00639848    8.32E-07       0            0               0.00157787732511    0                1.00000000    
4000000   0.0024736     0.00636196    7.68E-07       0            0               0.00156887142372    0                1.00000000  



