# Energy , Elastic   , Ionisation , ElectronicExc, Dissociation , VibrationalExc, RotationalExc , Attachment    ,  Thermalisation
1e-26   , 2.27134    , 0          , 0            , 0            ,  0            , 0             ,  0            ,  0.757112
0.0115  , 2.27134    , 0          , 0            , 0            ,  0            , 0             ,  0            ,  0.757112
0.025   , 2.27134    , 0          , 0            , 0            ,  0            , 61.2504       ,  0            ,  0.757112
0.10    , 2.26831    , 0          , 0            , 0            ,  0            , 45.5781       ,  0            ,  0
0.15    , 2.28951    , 0          , 0            , 0            ,  0            , 33.7066       ,  0            ,  0
0.20    , 2.28951    , 0          , 0            , 0            ,  0.000757112  , 27.1349       ,  0            ,  0
0.30    , 2.4803     , 0          , 0            , 0            ,  0.162779     , 19.8636       ,  0            ,  0
0.40    , 2.4591     , 0          , 0            , 0            ,  0.370985     , 15.8146       ,  0            ,  0
0.50    , 2.4167     , 0          , 0            , 0            ,  0.423983     , 13.2283       ,  0            ,  0
0.70    , 2.3743     , 0          , 0            , 0            ,  0.0446696    , 10.0696       ,  0            ,  0
1       , 2.26831    , 0          , 0            , 0            ,  0.0637488    , 7.50449       ,  0            ,  0
1.5     , 2.73937    , 0          , 0            , 0            ,  0.0621408    , 7.01545       ,  0            ,  0
2       , 3.06222    , 0          , 0            , 0            ,  0.0587958    , 6.70708       ,  0            ,  0
3       , 3.42459    , 0          , 0            , 0            ,  0.0753153    , 6.30846       ,  0            ,  0
4       , 3.5952     , 0          , 0            , 0            ,  0.1044       , 6.104         ,  0.0002       ,  0
5       , 3.70817    , 0          , 0            , 0            ,  0.138877     , 6.0266        ,  0.000307821  ,  0
6       , 3.915      , 0          , 0            , 0            ,  0.1404       , 5.805         ,  0.00486      ,  0
7       , 4.07738    , 0          , 0.000634834  , 0            ,  0.207901     , 5.66958       ,  0.0110419    ,  0
10      , 4.49419    , 0          , 0.00412623   , 0            ,  0.190412     , 5.22555       ,  0.00158614   ,  0
12      , 4.687      , 0          , 0.01935      , 0            ,  0.172        , 4.988         ,  0.001075     ,  0
15      , 4.8234     , 0.0641769  , 0.0397125    , 0.140658     ,  0.154411     , 4.66127       ,  0.000482533  ,  0
20      , 4.68692    , 0.255589   , 0.133467     , 0.4767       ,  0.1001       , 4.1575        ,  0.000556113  ,  0
30      , 4.11046    , 0.721921   , 0.203929     , 1.21308      ,  0.0531411    , 3.45948       ,  0            ,  0
40      , 3.83775    , 1.15807    , 0.296086     , 1.30225      ,  0.0340763    , 3.05324       ,  0            ,  0
50      , 3.66958    , 1.56428    , 0.282275     , 1.282        ,  0.024195     , 2.77571       ,  0            ,  0
60      , 4.004      , 1.82       , 0.273        , 1.183        ,  0.0182       , 2.73          ,  0            ,  0
70      , 3.27962    , 2.0286     , 0.252206     , 1.10461      ,  0.0138855    , 2.30631       ,  0            ,  0
100     , 2.70396    , 2.29074    , 0.207006     , 0.719273     ,  0.00713132   , 1.75272       ,  0            ,  0
150     , 2.07023    , 2.15975    , 0.125791     , 0.478492     ,  0            , 1.22535       ,  0            ,  0
200     , 1.70775    , 1.94012    , 0.083659     , 0.392272     ,  0            , 0.943463      ,  0            ,  0
300     , 1.30199    , 1.60718    , 0.0453663    , 0.29343      ,  0            , 0.652393      ,  0            ,  0
400     , 1.0696     , 1.3664     , 0.0285551    , 0.240245     ,  0            , 0.501199      ,  0            ,  0
500     , 0.9156     , 1.2012     , 0.0198815    , 0.201318     ,  0            , 0.4088        ,  0            ,  0
700     , 0.7224     , 0.9268     , 0.0107923    , 0.193608     ,  0            , 0.2996        ,  0            ,  0
1000    , 0.5544     , 0.7112     , 0.00570489   , 0.159495     ,  0            , 0.21588       ,  0            ,  0
1500    , 0.396      , 0.5124     , 0.00269059   , 0.114909     ,  0            , 0.147         ,  0            ,  0
2000    , 0.3192     , 0.406      , 0.00157835   , 0.0992217    ,  0            , 0.11368       ,  0            ,  0
3000    , 0.22764    , 0.294      , 0.000748182  , 0.0664518    ,  0            , 0.07812       ,  0            ,  0
4000    , 0.175      , 0.2366     , 0.000445772  , 0.0389542    ,  0            , 0.0598        ,  0            ,  0
5000    , 0.14644    , 0.19656    , 0.000293306  , 0.0349867    ,  0            , 0.04872       ,  0            ,  0
7000    , 0.109      , 0.138      , 0.0001449    , 0.0338551    ,  0            , 0.0357        ,  0            ,  0
10000   , 0.07952    , 0.103      , 7.45e-05     , 0.0215255    ,  0            , 0.02548       ,  0            ,  0
15000   , 0.051805   , 0.072842   , 2.824e-05    , 0.00841178   ,  0            , 0.017963      ,  0            ,  0
20000   , 0.0396456  , 0.0571768  , 2.016e-05    , 0.00649853   ,  0            , 0.0140999     ,  0            ,  0
30000   , 0.0275607  , 0.0408842  , 1.304e-05    , 0.00422594   ,  0            , 0.0100821     ,  0            ,  0
40000   , 0.0211668  , 0.0324196  , 1.056e-05    , 0.00334393   ,  0            , 0.00799473    ,  0            ,  0
50000   , 0.0174352  , 0.027217   , 8.64e-06     , 0.00272882   ,  0            , 0.00671176    ,  0            ,  0
70000   , 0.0131     , 0.0212     , 6.88e-06     , 0.00176516   ,  0            , 0.00522796    ,  0            ,  0
100000  , 0.00991704 , 0.0164454  , 4.48e-06     , 0.00144501   ,  0            , 0.00405547    ,  0            ,  0
150000  , 0.00744746 , 0.0127352  , 3.28e-06     , 0.000992135  ,  0            , 0.00314052    ,  0            ,  0
200000  , 0.00621678 , 0.0108672  , 2.16e-06     , 0.000776188  ,  0            , 0.00267987    ,  0            ,  0
300000  , 0.00499188 , 0.0090207  , 1.68e-06     , 0.000570418  ,  0            , 0.00222452    ,  0            ,  0
400000  , 0.00435594 , 0.0081276  , 1.4e-06      , 0.000479178  ,  0            , 0.00200428    ,  0            ,  0
500000  , 0.0039709  , 0.00761634 , 1.336e-06    , 0.00043092   ,  0            , 0.0018782     ,  0            ,  0
700000  , 0.00352    , 0.00713    , 1.16e-06     , 0.000350568  ,  0            , 0.00175827    ,  0            ,  0
1000000 , 0.00315582 , 0.00672364 , 1.12e-06     , 0.000369658  ,  0            , 0.00165806    ,  0            ,  0
1500000 , 0.00286458 , 0.00652098 , 1.056e-06    , 0.000346798  ,  0            , 0.00160809    ,  0            ,  0
2000000 , 0.00270826 , 0.00645072 , 9.52e-07     , 0.000315808  ,  0            , 0.00159076    ,  0            ,  0
3000000 , 0.00255346 , 0.00639848 , 8.32e-07     , 0.000281551  ,  0            , 0.00157788    ,  0            ,  0
4000000 , 0.0024736  , 0.00636196 , 7.68e-07     , 0.000262601  ,  0            , 0.00156887    ,  0            ,  0

