# Energy,Elastic,ElectronicExc,RotationalExc, VibrationalExc,Attachment,Thermalisation,IonisationS,IonisationD,IonisationI,Glfactor
1E-26,2.34705,0,0,0,0,0.757112,0,0,0,0.0757111982
0.0115,2.34705,0,0,0,0,0.757112,0,0,0,0.0757111982
0.025,2.34705,0,61.2504,0,0,0.757112,0,0,0,0.0757111982
0.1,2.3531,0,45.351,0,0,0,0,0,0,0.0757111982
0.15,2.3955,0,33.6915,0,0,0,0,0,0,0.0757111982
0.2,2.4379,0,27.1046,7.57112E-05,0,0,0,0,0,0.0757111982
0.3,2.69229,0,19.8363,0.129466,0,0,0,0,0,0.0757111982
0.4,2.71349,0,15.8236,0.131737,0,0,0,0,0,0.0757111982
0.5,2.71349,0,13.1737,0.227134,0,0,0,0,0,0.0757111982
0.7,2.64989,0,10.0696,0.121138,0,0,0,0,0,0.0757111982
1,2.5227,0,7.50298,0.0658687,0,0,0,0,0,0.0757111982
1.5,3.0623,0,7.01943,0.0621408,0,0,0,0,0,0.099425301
2,3.42129,0,6.70224,0.0629091,0,0,0,0,0,0.120978996
3,3.80761,0,6.30846,0.0756372,0,0,0,0,0,0.160930201
4,3.976,0,6.1,0.107,0.0002,0,0,0,0,0.200000003
5,4.089,0,6.0371,0.140786,0.000307821,0,0,0,0,0.238620698
6,4.455,0.00027,5.8065,0.17604,0.0054,0,0,0,0,0.27
7,4.50702,0.000601739,5.65634,0.206096,0.0110419,0,0,0,0,0.300869375
10,4.97116,0.0189277,5.22404,0.19117,0.00158614,0,0,0,0,0.37855351
12.6,5.117,0.0344,4.83339,0.1505,0.00129,0,0.00043,0,0,0.43
15,5.32331,0.0864699,4.66127,0.154411,0.000482533,0,0.158078,0,0,0.482533157
20,5.21634,0.246024,4.15972,0.1001,0.000556113,0,0.619732,0,0,0.556112528
30,4.72424,0.437085,3.46081,0.0531411,0,0,1.70184,0,0,0.664263189
40,4.49505,0.424061,3.05173,0.0340763,0,0,2.33234,0,0,0.757251978
50,4.35175,0.470459,2.77235,0.024195,0,0,2.65799,9.94127E-05,0,0.840105414
70,3.79652,0.43316,2.2204,0.013377,0,0,2.82446,0.00381818,0,0.91
100,3.14738,0.396728,1.67193,0.00680106,0,0,2.65629,0.0150127,0,0.944591582
150,2.52924,0.357754,1.20836,0,0,0,2.35558,0.0266813,0,0.990460932
200,2.11219,0.324523,0.943194,0,0,0,2.05972,0.0300933,0,0.999145806
300,1.61817,0.27716,0.651905,0,0,0,1.63936,0.0291998,0,0.999854922
400,1.33279,0.246397,0.500995,0,0,0,1.36282,0.0259703,0,0.999989808
500,1.1424,0.224,0.408999,0,0,0,1.17467,0.0237283,0,0.999998569
700,0.9016,0.1904,0.3,0,0,0,0.917741,0.0197568,0.00330163,0.999999702
1000,0.6944,0.1596,0.216,0,0,0,0.698247,0.0157696,0.00278317,1
2000,0.4032,0.1008,0.114,0,0,0,0.395194,0.008932,0.00187383,1
3000,0.2856,0.0756,0.0781,0,0,0,0.277876,0.0062832,0.00144053,1
5000,0.18396,0.05124,0.0487,0,0,0,0.175618,0.0039732,0.00100843,1
10000,0.09912,0.02884,0.0255,0,0,0,0.0930484,0.00210672,0.000604851,1
15000,0.0677576,0.0202987,0.0177306,0,0,0,0.0659397,0.00149361,0.000457916,1
20000,0.0518539,0.015846,0.0136046,0,0,0,0.0517427,0.0011724,0.000375641,1
30000,0.0357762,0.0111689,0.00936579,0,0,0,0.0369822,0.00083832,0.000284931,1
40000,0.0276848,0.0087257,0.00718628,0,0,0,0.0293163,0.000664755,0.000235126,1
50000,0.0228041,0.00726501,0.00585157,0,0,0,0.0246057,0.000558077,0.000203376,1
100000,0.0129578,0.00423253,0.00309095,0,0,0,0.0148563,0.000337209,0.000134115,1
150000,0.00974079,0.00317989,0.00212791,0,0,0,0.0114996,0.000261132,0.000108944,1
200000,0.00813114,0.00265884,0.00163272,0,0,0,0.00980972,0.000222829,9.6044E-05,1
300000,0.00652905,0.00214996,0.00112402,0,0,0,0.0081393,0.000184967,8.33276E-05,1
400000,0.00569729,0.00191054,0.000862447,0,0,0,0.00733116,0.000166654,7.73809E-05,1
500000,0.00519368,0.00177616,0.000702264,0,0,0,0.00686833,0.000156171,7.41875E-05,1
1000000,0.00412761,0.00155974,0.000370954,0,0,0,0.00605871,0.000137866,7.00829E-05,1
1500000,0.00374668,0.00150359,0.000255376,0,0,0,0.00587349,0.000133711,7.0575E-05,1
2000000,0.00354223,0.00146649,0.000195948,0,0,0,0.00580837,0.00013227,7.16426E-05,1
3000000,0.00333976,0.00143,0.000134896,0,0,0,0.00575878,0.000131199,7.3618E-05,1
4000000,0.00323531,0.00140846,0.000103505,0,0,0,0.00572411,0.00013045,7.50006E-05,1
5000000,0.00317611,0.00139349,8.42807E-05,0,0,0,0.00571847,0.000130354,7.63424E-05,1
6000000,0.00313509,0.00138203,7.12558E-05,0,0,0,0.00571464,0.000130292,7.74478E-05,1
