# Energy , Elastic   , Ionisation , ElectronicExc, VibrationalExc, RotationalExc 
0.001,150.64,0,0,0,250000
0.01,150.64,0,0,0,25000
0.1,150.64,0,0,0,3640
0.15,162.4,0,0,0,2604
0.2,166.6,0,0,0,2044
0.3,156.24,0,0,0,1444.8
0.4,150.64,0,0,0,1128.4
0.5,140.28,0,0,0,929.6
0.7,119,0,0,0,694.4
1,100.24,0,0,0,509.6
1.5,83.16,0,0,0,355.6
2,74.48,0,0,0,275.52
3,66.64,0,0,0,192.08
4,62.72,0,0,0,148.68
5,60.2,0,0,0,121.52
7,56.84,0,4.284E-06,0,89.88
10,53.76,0,0.1246,0,64.96
15,49.28,0.999898,2.4024,0,45.08
20,43.68,2.99969,4.34,1.36286,34.72
30,36.96,6.69932,4.116,0.826916,23.968
40,33.32,8.99908,3.584,0.723926,18.424
50,30.24,10.299,3.332,0,15.008
70,26.292,11.4988,3.024,0,11.032
100,22.68,11.5988,2.744,0,7.924
150,18.9,10.6989,2.52,0,5.46
200,16.436,9.69901,2.352,0,4.172
300,13.272,7.99919,2.072,0,2.884
400,11.228,6.79931,1.876,0,2.198
500,9.8,5.8994,1.736,0,1.7864
700,7.84,4.69952,1.484,0,1.3048
1000,6.076,3.59963,1.232,0,0.9352
2000,3.5,2.0552,0.7728,0,0.49
3000,2.4724,1.4532,0.5908,0,0.336
5000,1.5456,0.9324,0.3976,0,0.2072
10000,0.77,0.4984,0.224,0,0.1078
