Energy  Elastic     Vibrat  RotatExc  Annihilation  
0.004     100       0        0         20            
0.0115    100       0        0         20            
0.1	  36.68     0	    599.2       0.9691465106  
0.15	  31.36     0	    445.2     	0.8494497743  
0.2	  27.44     0.01    358.4     	0.7076598881  
0.3	  21.868    2.15    262.08    	0.48800411    
0.4	  18.144    4.9     208.88    	0.3526143985  
0.5	  15.484    5.6     174.44    	0.267379161   
0.7	  12.6      0.59    132.72    	0.1712374867  
1	  10.472    0.842    99.12     	0.1041658647  


Energy  Elastic     Vibrat  RotatExc  Thermalisation
0.025     100       0        0         20            
0.0115    100       0        0         20
0.10      29.96     0	    602         0  
0.15      30.24     0	    445.2       0
0.20      30.24     0.01    358.4       0
0.30      32.76     2.15    262.36      0
0.40      32.48     4.9     208.88      0
0.50      31.92     5.6     174.72      0
0.70      31.36     0.59    133         0
1         29.96     0.842    99.12      0
