# Energy , Elastic   , Ionisation , ElectronicExc, RotationalExc , VibrationalExc,,
0.1,147.56,0,0,1414,0,,
0.15,159.04,0,0,1008,0,,
0.2,163.8,0,0,789.6,0,,
0.3,163.24,0,0,557.2,0,,
0.4,157.36,0,0,436.8,0,,
0.5,145.88,0,0,358.4,0,,
0.7,122.92,0,0,268.24,0,,
1,101.92,0,0,196.28,0.232,,    
1.5,83.44,0,0,137.48,0.348,,    
2,75.32,0,0,106.4,1.66507,,    
3,73.08,0,0,74.2,6.92319,,    
4,71.96,0,0,57.4,12.1813,,    
5,106.4,0,0,47.04,9.09742,,    
7,117.6,0,0,34.72,8.02491,,    
10,84.28,0,0.013748,25.144,3.94649,,    
15,47.88,0.4144,2.8056,17.416,1.8522,,    
20,42.28,3.136,4.9,13.412,0.9962,,    
30,35.56,8.596,4.704,9.268,0.5813,,    
40,31.64,10.864,4.004,7.112,0.39605,,    
50,28.84,11.676,3.612,5.796,0.21,,    
70,24.92,11.928,3.22,4.256,0.15,,    
90,22.4,11.62,2.94,3.388,0.12,,
100,21.42,11.34,2.884,3.052,0.1,,
