280,33,       idxs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       ,0.1,0.15,0.2,0.3,0.4,0.5,0.7,1,1.5,2,3,4,5,7,10,15,20,30,40,50,70,100,150,200,300,400,500,700,1000,2000,3000,5000,10000,10010
0,8204,12320,16408,24612,32760,41160,57400,82040,123200,164080,246120,327600,411600,574000,820400,1232000,1640800,2461200,3276000,4116000,5740000,8204000,12320000,16408000,24612000,32760000,41160000,57400000,82040000,164080000,246120000,411600000,820400000,1
0.1,8134,12107,15963,23492,30806,38279,52696,74634,111440,148100,221800,295060,370620,516730,738450,1108900,1476800,2215100,2948400,3704400,5166000,7383600,11088000,14767000,22151000,29484000,37044000,51660000,73836000,147670000,221510000,370440000,738360000,0
0.2,8064,11894,15518,22372,28851,35398,47992,67228,99686,132130,197480,262520,329630,459450,656500,985720,1312700,1969000,2620800,3292800,4592000,6563200,9856000,13126000,19690000,26208000,32928000,45920000,65632000,131260000,196900000,329280000,656320000,0
0.3,7994,11682,15072,21252,26897,32516,43288,59822,87928,116150,173160,229980,288650,402180,574540,862580,1148700,1722900,2293300,2881300,4018000,5742800,8624000,11486000,17228000,22932000,28812000,40180000,57428000,114860000,172280000,288120000,574280000,0
0.4,7924,11469,14627,20132,24942,29635,38584,52416,76171,100170,148840,197440,247660,344900,492590,739440,984660,1476800,1965700,2469700,3444100,4922400,7392000,9844800,14767000,19656000,24696000,34440000,49224000,98448000,147670000,246960000,492240000,0
0.5,7854,11256,14182,19012,22988,26754,33880,45010,64414,84196,124520,164900,206680,287630,410640,616290,820620,1230700,1638100,2058100,2870100,4102000,6160000,8204000,12306000,16380000,20580000,28700000,41020000,82040000,123060000,205800000,410200000,0
0.6,7784,11043,13737,17892,21034,23873,29176,37604,52657,68219,100200,132360,165700,230360,328690,493150,656590,984660,1310500,1646500,2296100,3281700,4928000,6563200,9844800,13104000,16464000,22960000,32816000,65632000,98448000,164640000,328160000,0
0.7,7714,10830,13292,16772,19079,20992,24472,30198,40900,52242,75874,99817,124710,173080,246740,370010,492550,738570,982950,1234900,1722100,2461300,3696000,4922400,7383600,9828000,12348000,17220000,24612000,49224000,73836000,123480000,246120000,0
0.8,7644,10618,12846,15652,17125,18110,19768,22792,29142,36266,51554,67276,83729,115810,164790,246870,328510,492480,655380,823340,1148100,1640900,2464000,3281600,4922400,6552000,8232000,11480000,16408000,32816000,49224000,82320000,164080000,0
0.9,7574,10405,12401,14532,15170,15229,15064,15386,17385,20289,27233,34736,42745,58534,82834,123730,164480,246380,327800,411760,574110,820480,1232100,1640800,2461200,3276000,4116000,5740000,8204000,16408000,24612000,41160000,82040000,0
1,7504,10192,11956,13412,13216,12348,10360,7980,5628,4312,2912,2195.2,1761.2,1260,882,588,442.4,294,220.92,176.68,126.28,88.48,58.8,44.24,29.4,22.092,17.668,12.628,8.848,4.424,2.94,1.7668,0.8848,0
1.1,7352.8,9842,11421,12636,12368,11511,9623.6,7397,5210.8,3990.6,2694.2,2030.8,1629.3,1165.6,815.89,543.93,409.22,271.96,204.34,163.44,116.82,81.841,54.393,40.922,27.196,20.434,16.344,11.682,8.1841,4.0922,2.7196,1.6344,0.81841,0
1.2,7201.6,9492,10886,11861,11519,10674,8887.2,6814.1,4793.6,3669.1,2476.3,1866.5,1497.4,1071.3,749.78,499.86,376.04,249.93,187.77,150.19,107.35,75.202,49.986,37.604,24.993,18.777,15.019,10.735,7.5202,3.7604,2.4993,1.5019,0.75202,0
1.3,7050.4,9142,10352,11085,10671,9836.4,8150.8,6231.1,4376.4,3347.7,2258.5,1702.1,1365.6,976.92,683.68,455.78,342.86,227.89,171.19,136.95,97.888,68.564,45.578,34.286,22.789,17.119,13.695,9.7888,6.8564,3.4286,2.2789,1.3695,0.68564,0
1.4,6899.2,8792,9816.8,10310,9822.4,8999.2,7414.4,5648.2,3959.2,3026.2,2040.6,1537.8,1233.7,882.56,617.57,411.71,309.68,205.86,154.62,123.7,88.424,61.925,41.171,30.968,20.586,15.462,12.37,8.8424,6.1925,3.0968,2.0586,1.237,0.61925,0
1.5,6748,8442,9282,9534,8974,8162,6678,5065.2,3542,2704.8,1822.8,1373.4,1101.8,788.2,551.46,367.64,276.5,183.82,138.04,110.46,78.96,55.286,36.764,27.65,18.382,13.804,11.046,7.896,5.5286,2.765,1.8382,1.1046,0.55286,0
1.6,6596.8,8092,8747.2,8758.4,8125.6,7324.8,5941.6,4482.2,3124.8,2383.4,1605,1209,969.92,693.84,485.35,323.57,243.32,161.78,121.46,97.216,69.496,48.647,32.357,24.332,16.178,12.146,9.7216,6.9496,4.8647,2.4332,1.6178,0.97216,0.48647,0
1.7,6445.6,7742,8212.4,7982.8,7277.2,6487.6,5205.2,3899.3,2707.6,2061.9,1387.1,1044.7,838.04,599.48,419.24,279.5,210.14,139.75,104.89,83.972,60.032,42.008,27.95,21.014,13.975,10.489,8.3972,6.0032,4.2008,2.1014,1.3975,0.83972,0.42008,0
1.8,6294.4,7392,7677.6,7207.2,6428.8,5650.4,4468.8,3316.3,2290.4,1740.5,1169.3,880.32,706.16,505.12,353.14,235.42,176.96,117.71,88.312,70.728,50.568,35.37,23.542,17.696,11.771,8.8312,7.0728,5.0568,3.537,1.7696,1.1771,0.70728,0.3537,0
1.9,6143.2,7042,7142.8,6431.6,5580.4,4813.2,3732.4,2733.4,1873.2,1419,951.44,715.96,574.28,410.76,287.03,191.35,143.78,95.676,71.736,57.484,41.104,28.731,19.135,14.378,9.5676,7.1736,5.7484,4.1104,2.8731,1.4378,0.95676,0.57484,0.28731,0
2,5992,6692,6608,5656,4732,3976,2996,2150.4,1456,1097.6,733.6,551.6,442.4,316.4,220.92,147.28,110.6,73.64,55.16,44.24,31.64,22.092,14.728,11.06,7.364,5.516,4.424,3.164,2.2092,1.106,0.7364,0.4424,0.22092,0
2.1,5840.8,6451.2,6325.2,5378.8,4487.3,3765.7,2833.3,2032.5,1375.6,1036.8,693,520.97,417.79,298.79,208.66,139.1,104.44,69.552,52.1,41.782,29.879,20.866,13.91,10.444,6.9552,5.21,4.1782,2.9879,2.0866,1.0444,0.69552,0.41782,0.20866,0
2.2,5689.6,6210.4,6042.4,5101.6,4242.6,3555.4,2670.6,1914.6,1295.3,976.08,652.4,490.34,393.18,281.18,196.39,130.93,98.28,65.464,49.039,39.323,28.118,19.639,13.093,9.828,6.5464,4.9039,3.9323,2.8118,1.9639,0.9828,0.65464,0.39323,0.19639,0
2.3,5538.4,5969.6,5759.6,4824.4,3997.8,3345.2,2508,1796.8,1214.9,915.32,611.8,459.7,368.56,263.56,184.13,122.75,92.12,61.376,45.979,36.865,26.356,18.413,12.275,9.212,6.1376,4.5979,3.6865,2.6356,1.8413,0.9212,0.61376,0.36865,0.18413,0
2.4,5387.2,5728.8,5476.8,4547.2,3753.1,3134.9,2345.3,1678.9,1134.6,854.56,571.2,429.07,343.95,245.95,171.86,114.58,85.96,57.288,42.918,34.406,24.595,17.186,11.458,8.596,5.7288,4.2918,3.4406,2.4595,1.7186,0.8596,0.57288,0.34406,0.17186,0
2.5,5236,5488,5194,4270,3508.4,2924.6,2182.6,1561,1054.2,793.8,530.6,398.44,319.34,228.34,159.6,106.4,79.8,53.2,39.858,31.948,22.834,15.96,10.64,7.98,5.32,3.9858,3.1948,2.2834,1.596,0.798,0.532,0.31948,0.1596,0
2.6,5084.8,5247.2,4911.2,3992.8,3263.7,2714.3,2019.9,1443.1,973.84,733.04,490,367.81,294.73,210.73,147.34,98.224,73.64,49.112,36.798,29.49,21.073,14.734,9.8224,7.364,4.9112,3.6798,2.949,2.1073,1.4734,0.7364,0.49112,0.2949,0.14734,0
2.7,4933.6,5006.4,4628.4,3715.6,3019,2504,1857.2,1325.2,893.48,672.28,449.4,337.18,270.12,193.12,135.07,90.048,67.48,45.024,33.737,27.031,19.312,13.507,9.0048,6.748,4.5024,3.3737,2.7031,1.9312,1.3507,0.6748,0.45024,0.27031,0.13507,0
2.8,4782.4,4765.6,4345.6,3438.4,2774.2,2293.8,1694.6,1207.4,813.12,611.52,408.8,306.54,245.5,175.5,122.81,81.872,61.32,40.936,30.677,24.573,17.55,12.281,8.1872,6.132,4.0936,3.0677,2.4573,1.755,1.2281,0.6132,0.40936,0.24573,0.12281,0
2.9,4631.2,4524.8,4062.8,3161.2,2529.5,2083.5,1531.9,1089.5,732.76,550.76,368.2,275.91,220.89,157.89,110.54,73.696,55.16,36.848,27.616,22.114,15.789,11.054,7.3696,5.516,3.6848,2.7616,2.2114,1.5789,1.1054,0.5516,0.36848,0.22114,0.11054,0
3,4480,4284,3780,2884,2284.8,1873.2,1369.2,971.6,652.4,490,327.6,245.28,196.28,140.28,98.28,65.52,49,32.76,24.556,19.656,14.028,9.828,6.552,4.9,3.276,2.4556,1.9656,1.4028,0.9828,0.49,0.3276,0.19656,0.09828,0
3.1,4362.4,4138.4,3638.6,2767,2188.8,1793.4,1310.1,929.32,623.84,468.58,313.24,234.56,187.71,134.15,93.968,62.664,46.864,31.326,23.481,18.796,13.415,9.3968,6.2664,4.6864,3.1326,2.3481,1.8796,1.3415,0.93968,0.46864,0.31326,0.18796,0.093968,0
3.2,4244.8,3992.8,3497.2,2649.9,2092.7,1713.6,1251,887.04,595.28,447.16,298.87,223.83,179.14,128.02,89.656,59.808,44.727,29.893,22.406,17.937,12.802,8.9656,5.9808,4.4727,2.9893,2.2406,1.7937,1.2802,0.89656,0.44727,0.29893,0.17937,0.089656,0
3.3,4127.2,3847.2,3355.8,2532.9,1996.7,1633.8,1192,844.76,566.72,425.74,284.51,213.11,170.58,121.88,85.344,56.952,42.591,28.459,21.33,17.077,12.188,8.5344,5.6952,4.2591,2.8459,2.133,1.7077,1.2188,0.85344,0.42591,0.28459,0.17077,0.085344,0
3.4,4009.6,3701.6,3214.4,2415.8,1900.6,1554,1132.9,802.48,538.16,404.32,270.14,202.38,162.01,115.75,81.032,54.096,40.454,27.026,20.255,16.218,11.575,8.1032,5.4096,4.0454,2.7026,2.0255,1.6218,1.1575,0.81032,0.40454,0.27026,0.16218,0.081032,0
3.5,3892,3556,3073,2298.8,1804.6,1474.2,1073.8,760.2,509.6,382.9,255.78,191.66,153.44,109.62,76.72,51.24,38.318,25.592,19.18,15.358,10.962,7.672,5.124,3.8318,2.5592,1.918,1.5358,1.0962,0.7672,0.38318,0.25592,0.15358,0.07672,0
3.6,3774.4,3410.4,2931.6,2181.8,1708.6,1394.4,1014.7,717.92,481.04,361.48,241.42,180.94,144.87,103.49,72.408,48.384,36.182,24.158,18.105,14.498,10.349,7.2408,4.8384,3.6182,2.4158,1.8105,1.4498,1.0349,0.72408,0.36182,0.24158,0.14498,0.072408,0
