#  Energy ,IonisationS,IonisationD,IonisationI, Elastic , ElectronicExc , Dissociation , VibrationalExc , RotationalExc , Positronium , Annihilation , factor_gl,
1E-26,0,0,0,100,0,0,0,0,0,20,0.0757111982, 
0.0115,0,0,0,100,0,0,0,0,0,20,0.0757111982, 
0.1,0,0,0,36.68,0,0,0,599.2,0,0.9691465106,0.0757111982, 
0.15,0,0,0,31.36,0,0,0,445.2,0,0.8494497743,0.0757111982, 
0.2,0,0,0,27.44,0,0,0.01,358.4,0,0.7076598881,0.0757111982, 
0.3,0,0,0,21.868,0,0,2.15,262.08,0,0.48800411,0.0757111982, 
0.4,0,0,0,18.144,0,0,4.9,208.88,0,0.3526143985,0.0757111982, 
0.5,0,0,0,15.484,0,0,5.6,174.44,0,0.267379161,0.0757111982, 
0.7,0,0,0,12.6,0,0,0.59,132.72,0,0.1712374867,0.0757111982, 
1,0,0,0,10.472,0,0,0.842,99.12,0,0.1041658647,0.0757111982, 
1.5,0,0,0,8.148,0,0,0.625,70.56,0,0.0581190721,0.099425301, 
2,0,0,0,6.804,0,0,0.486,55.44,0,0.0381443321,0.120978996, 
3,0,0,0,5.46,0,0,0.468,39.2,0,0.0209470086,0.160930201, 
4,0,0,0,4.788,0,0,0.522,30.52,0,0.0136559005,0.200000003, 
5,0,0,0,4.368,0,0,0.582,25.256,0,0.0097904574,0.238620698, 
6,0,0,0,4,0,0,0.52,21.5,0.75,0.0074566125,0.300869375, 
7,0,0,0,3.78,0.02,0,0.691,18.844,1.45,0,0.37855351, 
10,0,0,0,2.856,0.28,0,0.503,13.804,2.42,0,0.482533157, 
12,0.001,0,0,2.6,0.6,0,0.4,12,2.66,0,0.556112528, 
15,0.3276,0,0,2.2624,1.10922,1.6779887105,0.32,9.66,2.92,0,0.664263189, 
20,1.1144,0,0,2.492,1.31173,2.7785341597,0.18,7.476,2.73,0,0.757251978, 
30,2.562,0,0,2.8,0.77979,3.1633048191,0.08,5.208,2.28,0,0.840105414, 
40,3.08,0,0,2.8,0.895371,2.9320145402,0.045,4.032,1.71,0,0.944591582, 
50,3.1638816664,0.0001183336,0,2.6264,0.748511,2.5905443609,0.0288,3.304,1.31,0,0.990460932, 
70,3.1038042,0.0041958,0,2.1364,0.659956,2.0297218372,0.0147,2.4416,0.644,0,0.999145806, 
100,2.81210664,0.01589336,0,1.6464,0.607582,1.2402089647,0.0072,1.7696,0.28,0,0.999854922, 
150,2.37826176,0.02693824,0,1.2208,0.395628,0.8521861236,0,1.2236,0.084,0,0.999989808, 
200,2.06148096,0.03011904,0,0.98,0.265932,0.6734338766,0,0.9436,0.0336,0,0.999998569, 
300,1.639596,0.029204,0,0.7084,0.13861,0.4514948576,0,0.6524,0.0112,0,0.999999702, 
400,1.36282944,0.02597056,0,0.56,0.0845565,0.3525217357,0,0.5012,0.0056,0,1, 
500,1.17467168,0.02372832,0,0.4648,0.0563723,0.2900138544,0,0.4088,0.001,0,1, 
700,0.917741570400292,0.0197568,0.003301629599708,0.35,0.0273823,0.2495088607,0,0.2996,0,0,1, 
1000,0.698247234693039,0.0157696,0.002783165306961,0.25984,0.0133155,0.1868222287,0,0.21588,0,0,1, 
2000,0.395194172232737,0.008932,0.001873827767263,0.14504,0.00341975,0.1063701229,0,0.11368,0,0,1, 
3000,0.277876271194772,0.0062832,0.001440528805228,0.10304,0.00155871,0.0700606436,0,0.07812,0,0,1, 
5000,0.175618374550634,0.0039732,0.001008425449366,0.06664,0.000577301,0.0321913493,0,0.04872,0,0,1, 
10000,0.093048428590445,0.00210672,0.000604851409555,0.0364,0.000137411,0.0198512944,0,0.02548,0,0,1, 
15000,0.065939665148077,0.001493606125309,0.000457916240642,0.051805,5.65E-05,0,0,0.0179629755998,0,0,1, 
20000,0.051742659447529,0.00117239530361,0.000375640867488,0.0396456,4.03E-05,0,0,0.01409990751592,0,0,1, 
30000,0.036982195240619,0.000838319809291,0.000284930826933,0.0275607,2.61E-05,0,0,0.01008212139998,0,0,1, 
40000,0.029316273017774,0.000664755404026,0.00023512630665,0.02116678,2.11E-05,0,0,0.00799473495724,0,0,1, 
50000,0.024605703104889,0.000558077454113,0.000203376446149,0.01743518,1.73E-05,0,0,0.0067117639123,0,0,1, 
100000,0.014856340493199,0.000337208618285,0.000134115356036,0.00991704,8.96E-06,0,0,0.00405546688626,0,0,1, 
150000,0.011499557213992,0.000261131939362,0.000108944454024,0.00744746,6.56E-06,0,0,0.00314052451688,0,0,1, 
200000,0.009809721820964,0.000222829088781,9.60440348264418E-05,0.00621678,4.32E-06,0,0,0.00267987216768,0,0,1, 
300000,0.008139300299136,0.000184967090066,8.3327613787797E-05,0.00499188,3.36E-06,0,0,0.00222452175933,0,0,1, 
400000,0.007331160613906,0.000166654308559,7.73809211279044E-05,0.00435594,2.8E-06,0,0,0.00200428160244,0,0,1, 
500000,0.006868325849883,0.00015617105621,7.41874670787059E-05,0.0039709,2.67E-06,0,0,0.00187820391505,0,0,1, 
1000000,0.006058708688893,0.000137866476598,7.00828617016342E-05,0.00315582,2.24E-06,0,0,0.00165806239892,0,0,1, 
1500000,0.005873486155327,0.000133710986395,7.05749671595828E-05,0.00286458,2.11E-06,0,0,0.00160808605786,0,0,1, 
2000000,0.005808374534976,0.000132270323504,7.16425735032026E-05,0.00270826,1.9E-06,0,0,0.00159075980837,0,0,1, 
