#Energy,Elastic,ElectronicExc,RotationalExc, VibrationalExc ,IonisationS,IonisationD,IonisationI,Attachment,Thermalisation,Dissociation,Glfactor
1E-26,31,0,0,0,0,0,0,0,10,0,0.0757111982
0.0115,31,0,0,0,0,0,0,0,10,0,0.0757111982
0.025,31,0,809,0,0,0,0,0,10,0,0.0757111982
0.1,31.08,0,599,0,0,0,0,0,0,0,0.0757111982
0.15,31.64,0,445,0,0,0,0,0,0,0,0.0757111982
0.2,32.2,0,358,0.001,0,0,0,0,0,0,0.0757111982
0.3,35.56,0,262,1.71,0,0,0,0,0,0,0.0757111982
0.4,35.84,0,209,1.74,0,0,0,0,0,0,0.0757111982
0.5,35.84,0,174,3,0,0,0,0,0,0,0.0757111982
0.7,35,0,133,1.6,0,0,0,0,0,0,0.0757111982
1,33.32,0,99.1,0.87,0,0,0,0,0,0,0.0757111982
1.5,30.8,0,70.6,0.625,0,0,0,0,0,0,0.099425301
2,28.28,0,55.4,0.52,0,0,0,0,0,0,0.120978996
3,23.66,0,39.2,0.47,0,0,0,0,0,0,0.160930201
4,19.88,0,30.5,0.535,0,0,0,0.001,0,0,0.200000003
5,17.136,0,25.3,0.59,0,0,0,0.00129,0,0,0.238620698
6,16.5,0.001,21.5055718080347,0.652,0,0,0,0.02,0,0,0.27
7,14.98,0.002,18.8,0.685,0,0,0,0.0367,0,0,0.300869375
10,13.132,0.05,13.8,0.505,0,0,0,0.00419,0,0,0.37855351
12.6,11.9,0.08,11.240446291671,0.35,0.001,0,0,0.003,0,0,0.43
15,11.032,0.1792,9.66,0.32,0.3276,0,0,0.001,0,0.2915,0.482533157
20,9.38,0.4424,7.48,0.18,1.1144,0,0,0.001,0,0.8572,0.556112528
30,7.112,0.658,5.21,0.08,2.562,0,0,0,0,1.8262,0.664263189
40,5.936,0.56,4.03,0.045,3.08,0,0,0,0,1.7197,0.757251978
50,5.18,0.56,3.3,0.0288,3.1638816664,0.0001183336,0,0,0,1.526,0.840105414
70,4.172,0.476,2.44,0.0147,3.1038042,0.0041958,0,0,0,1.1694,0.91
100,3.332,0.42,1.77,0.0072,2.81210664,0.01589336,0,0,0,0.7262,0.944591582
150,2.5536,0.3612,1.22,0,2.37826176,0.02693824,0,0,0,0.4789011343,0.990460932
200,2.114,0.3248,0.944,0,2.06148096,0.03011904,0,0,0,0.3923288382,0.999145806
300,1.6184,0.2772,0.652,0,1.639596,0.029204,0,0,0,0.2934332445,0.999854922
400,1.3328,0.2464,0.501,0,1.36282944,0.02597056,0,0,0,0.2402448992,0.999989808
500,1.1424,0.224,0.409,0,1.17467168,0.02372832,0,0,0,0.2013184861,0.999998569
700,0.9016,0.1904,0.3,0,0.917741570400292,0.0197568,0.003301629599708,0,0,0.19360767,0.999999702
1000,0.6944,0.1596,0.216,0,0.698247234693039,0.0157696,0.002783165306961,0,0,0.1594951112,1
2000,0.4032,0.1008,0.114,0,0.395194172232737,0.008932,0.001873827767263,0,0,0.0992216519,1
3000,0.2856,0.0756,0.0781,0,0.277876271194772,0.0062832,0.001440528805228,0,0,0.0664518178,1
5000,0.18396,0.05124,0.0487,0,0.175618374550634,0.0039732,0.001008425449366,0,0,0.038954228,1
10000,0.09912,0.02884,0.0255,0,0.093048428590445,0.00210672,0.000604851409555,0,0,0.0215255,1
15000,0.0677575571335,0.020298664629635,0.017730644521825,0,0.065939665148077,0.001493606125309,0.000457916240642,0,0,0.0084117844002,1
20000,0.05185385594232,0.01584601613055,0.01360455715912,0,0.051742659447529,0.00117239530361,0.000375640867488,0,0,0.00649853248408,1
30000,0.03577619943604,0.01116887080651,0.009365791315508,0,0.036982195240619,0.000838319809291,0.000284930826933,0,0,0.00422593860002,1
40000,0.027684766049266,0.008725699538204,0.007186283788804,0,0.029316273017774,0.000664755404026,0.00023512630665,0,0,0.00334392504276,1
50000,0.022804076922746,0.007265009408979,0.005851568852038,0,0.024605703104889,0.000558077454113,0.000203376446149,0,0,0.0027288160877,1
100000,0.012957761390288,0.004232533975164,0.003090952089703,0,0.014856340493199,0.000337208618285,0.000134115356036,0,0,0.00144501311374,1
150000,0.009740791360862,0.003179889890038,0.002127905517232,0,0.011499557213992,0.000261131939362,0.000108944454024,0,0,0.00099213548312,1
200000,0.008131142284266,0.002658841985212,0.001632721935334,0,0.009809721820964,0.000222829088781,9.60440348264418E-05,0,0,0.00077618783232,1
300000,0.006529053070236,0.00214995688782,0.001124015485674,0,0.008139300299136,0.000184967090066,8.3327613787797E-05,0,0,0.00057041824067,1
400000,0.005697285077118,0.001910537174602,0.000862446534517,0,0.007331160613906,0.000166654308559,7.73809211279044E-05,0,0,0.00047917839756,1
500000,0.00519367790023,0.001776161986021,0.000702263565737,0,0.006868325849883,0.00015617105621,7.41874670787059E-05,0,0,0.00043092008495,1
1000000,0.004127606484954,0.001559737820866,0.000370954028044,0,0.006058708688893,0.000137866476598,7.00828617016342E-05,0,0,0.00036965760108,1
1500000,0.003746683582926,0.001503590549885,0.000255376045958,0,0.005873486155327,0.000133710986395,7.05749671595828E-05,0,0,0.00034679794214,1
2000000,0.003542227230622,0.001466494756035,0.000195947643642,0,0.005808374534976,0.000132270323504,7.16425735032026E-05,0,0,0.00031580819163,1
3000000,0.003339758939062,0.001429998645485,0.00013489632317,0,0.005758780879711,0.000131199155991,7.36179638697404E-05,0,0,0.00028155067489,1
4000000,0.00323530727392,0.001408463864434,0.000103504682915,0,0.005724109169793,0.000130450322959,7.50006417416115E-05,0,0,0.00026260057628,1
5000000,0.003176110149398,0.00139348715844,8.42806652766683E-05,0,0.005718465028028,0.000130353540595,7.63423675349203E-05,0,0,0,1
6000000,0.003135093317206,0.001382031669769,7.12557747396304E-05,0,0.005714643259374,0.000130292436476,7.7447780342676E-05,0,0,0,1
