# Energy  Elastic      Ionisation   ElectronicExc   Dissociation  VibrationalExc  RotationalExc  Positronium            factor_gl
  0.100000001      0.722909629       0.00000000       0.00000000       0.00000000       0.00000000       45.5781403       0.00000000       7.57111982E-02
  0.150000006      0.729665816       0.00000000       0.00000000       0.00000000       0.00000000       33.7066269       0.00000000       7.57111982E-02
  0.200000003      0.729665816       0.00000000       0.00000000       0.00000000       0.00000000       27.1348934       0.00000000       7.57111982E-02
  0.300000012      0.790471256       0.00000000       0.00000000       0.00000000       0.00000000       19.8635883       0.00000000       7.57111982E-02
  0.400000006      0.783715069       0.00000000       0.00000000       0.00000000       0.00000000       15.8145552       0.00000000       7.57111982E-02
  0.500000000      0.770202756       0.00000000       0.00000000       0.00000000      0.170350194       13.2282610       0.00000000       7.57111982E-02
  0.699999988      0.756690443       0.00000000       0.00000000       0.00000000      0.143851280       10.0695896       0.00000000       7.57111982E-02
   1.00000000      0.722890556       0.00000000       0.00000000       0.00000000       6.58687428E-02   5.99935532       0.00000000       7.57111982E-02
   1.50000000      0.673705816       0.00000000       0.00000000       0.00000000       6.21408150E-02   5.28942585       0.00000000       9.94253010E-02
   2.00000000      0.636833429       0.00000000       0.00000000       0.00000000       6.29090741E-02   4.84399891       0.00000000      0.120978996    
   3.00000000      0.617328227       0.00000000       0.00000000       0.00000000       7.56371915E-02   4.29426146       0.00000000      0.160930201    
   4.00000000      0.638400018       0.00000000       0.00000000       0.00000000      0.107000008       4.00400019       0.00000000      0.200000003    
   5.00000000      0.674819350       0.00000000       0.00000000       0.00000000      0.140786201       3.82843065       0.00000000      0.238620698    
   6.00000000      0.782260358       0.00000000       0.00000000       0.00000000      0.189547703       4.06173658      0.225652039      0.300869375    
   7.00000000      0.920036435       0.00000000       3.78553499E-03   0.00000000      0.259309143       4.34004927      0.548902631      0.378553510    
   10.0000000      0.922796428       0.00000000       6.75546452E-02   0.00000000      0.243679240       3.86412573       1.28353822      0.482533157    
   13.5000000       1.00100255       0.00000000      0.166833758       0.00000000      0.222445011       4.17084408       1.55711508      0.556112528    
   15.0000000       1.14572120       8.83470029E-02  0.368407845       1.30487108      0.212564215       3.55247951       1.93964851      0.664263189    
   20.0000000       1.35487521      0.348033011      0.496655703       1.77388859      0.136305362       3.03203702       2.06729794      0.757251978    
   30.0000000       1.54310560      0.913026571      0.327553034       1.94846046       6.72084317E-02   2.23468041       1.91544032      0.840105414    
   40.0000000       1.67948377       1.44456387      0.422879905       1.85991454       4.25066240E-02   1.90429664       1.61525166      0.944591582    
   50.0000000       1.66952097       1.84423828      0.370685577       1.68353033       2.85252742E-02   1.58077562       1.28759921      0.990460932    
   70.0000000       1.49392283       2.14576554      0.329696298       1.44399571       1.46874432E-02   1.14701939      0.668620050      0.999145806    
   100.000000       1.26261675       2.31246448      0.303746969       1.05541170       7.19895540E-03  0.811882198      0.247808173      0.999854922    
   150.000000      0.988389909       2.16157818      0.197811872      0.752447784       0.00000000      0.531994581       8.01298395E-02  0.999989808    
   200.000000      0.811998844       1.94039726      0.132965922      0.623468935       0.00000000      0.403199434       3.59639972E-02  0.999998569    
   300.000000      0.604799807       1.60719955       6.93051219E-02  0.448267192       0.00000000      0.265999913       1.16275577E-02  0.999999702    
   400.000000      0.487199992       1.36640000       4.22782637E-02  0.355703086       0.00000000      0.201600000       5.21865441E-03   1.00000000    
   500.000000      0.408800006       1.20120001       2.81861462E-02  0.285410464       0.00000000      0.159600005       2.80338665E-03   1.00000000    
   700.000000      0.316399992      0.926800013       1.36911394E-02  0.245610505       0.00000000      0.114799999       1.09836017E-03   1.00000000    
   1000.00000      0.238279998      0.711199999       6.65777130E-03  0.186135441       0.00000000       8.12000036E-02   4.06792504E-04   1.00000000    
   2000.00000      0.137480006      0.405999988       1.70987705E-03  0.107490122       0.00000000       3.92000005E-02   0.00000000       1.00000000    
   3000.00000       9.91199985E-02  0.294000000       7.79356400E-04   6.92206472E-02   0.00000000       2.80000009E-02   0.00000000       1.00000000    
   4000.00000       7.84000009E-02  0.236599997       5.22707298E-04   4.56772931E-02   0.00000000       1.96000002E-02   0.00000000       1.00000000    
   5000.00000       6.52400032E-02  0.196559995       2.88650714E-04   3.44313495E-02   0.00000000       1.59600005E-02   0.00000000       1.00000000    
   7000.00000       4.92799990E-02  0.137999997       1.39785901E-04   3.26602124E-02   0.00000000       1.14799999E-02   0.00000000       1.00000000    
   10000.0000       3.61200012E-02  0.103000000       6.87055581E-05   1.98512953E-02   0.00000000       8.12000036E-03   0.00000000       1.00000000    
   15000.0000       5.18050008E-02   7.28420019E-02   2.82399997E-05   0.00000000       0.00000000       1.79629754E-02   0.00000000       1.00000000    
   20000.0000       3.96456011E-02   5.71767986E-02   2.01599996E-05   0.00000000       0.00000000       1.40999071E-02   0.00000000       1.00000000    
   30000.0000       2.75606997E-02   4.08842005E-02   1.30400003E-05   0.00000000       0.00000000       1.00821210E-02   0.00000000       1.00000000    
   40000.0000       2.11667791E-02   3.24195996E-02   1.05600002E-05   0.00000000       0.00000000       7.99473468E-03   0.00000000       1.00000000    
   50000.0000       1.74351800E-02   2.72170007E-02   8.63999958E-06   0.00000000       0.00000000       6.71176380E-03   0.00000000       1.00000000    
   70000.0000       1.31000001E-02   2.11999994E-02   6.88000000E-06   0.00000000       0.00000000       5.22796018E-03   0.00000000       1.00000000    
   100000.000       9.91704036E-03   1.64454002E-02   4.47999992E-06   0.00000000       0.00000000       4.05546697E-03   0.00000000       1.00000000    
   150000.000       7.44746020E-03   1.27352001E-02   3.28000010E-06   0.00000000       0.00000000       3.14052450E-03   0.00000000       1.00000000    
   200000.000       6.21677982E-03   1.08671999E-02   2.15999989E-06   0.00000000       0.00000000       2.67987209E-03   0.00000000       1.00000000    
   300000.000       4.99188015E-03   9.02070012E-03   1.67999997E-06   0.00000000       0.00000000       2.22452171E-03   0.00000000       1.00000000    
   400000.000       4.35594004E-03   8.12759995E-03   1.39999997E-06   0.00000000       0.00000000       2.00428162E-03   0.00000000       1.00000000    
   500000.000       3.97090008E-03   7.61634018E-03   1.33599997E-06   0.00000000       0.00000000       1.87820394E-03   0.00000000       1.00000000    
   700000.000       3.52000003E-03   7.12999981E-03   1.16000001E-06   0.00000000       0.00000000       1.75827160E-03   0.00000000       1.00000000    
   1000000.00       3.15582007E-03   6.72364002E-03   1.11999998E-06   0.00000000       0.00000000       1.65806245E-03   0.00000000       1.00000000    
   1500000.00       2.86457990E-03   6.52098004E-03   1.05599997E-06   0.00000000       0.00000000       1.60808605E-03   0.00000000       1.00000000    
   2000000.00       2.70825997E-03   6.45072013E-03   9.51999994E-07   0.00000000       0.00000000       1.59075984E-03   0.00000000       1.00000000    
   3000000.00       2.55345996E-03   6.39847992E-03   8.32000012E-07   0.00000000       0.00000000       1.57787732E-03   0.00000000       1.00000000    
   4000000.00       2.47359998E-03   6.36195997E-03   7.68000007E-07   0.00000000       0.00000000       1.56887143E-03   0.00000000       1.00000000    
