#  Energy      Elastic	        Ionisation  ElectronicExc  ChargeTransfer
 0.000001e6   74.5080349762              0              0   0.0036003473 
 0.000005e6   52.0776049064              0              0   0.0118141754 
 0.000007e6   48.3204505145              0              0   0.0151457827 
  0.00001e6   44.6332340527              0   9.6424155E-5   0.0197086981 
0.0000126e6   33                   0.00001   0.0003681338   0.0233756055 
  0.00005e6   31.1965270516   0.1321246837   0.0042765727    0.064672099 
  0.00007e6   28.9458442708   0.2005338433   0.0063666469   0.0829096849 
   0.0001e6      26.78848        0.3072862    0.009495755      0.1086846  
  0.00015e6      24.34483        0.4815957     0.01480712      0.1445521  
   0.0002e6      22.91995        0.6378191     0.01998264      0.1789293  
   0.0003e6      20.88267        0.8978106     0.03015905      0.2432471  
   0.0004e6      19.62456          1.10998     0.04099164      0.3012833  
   0.0005e6      18.51138         1.265106     0.05120767      0.3600158  
   0.0007e6      17.33198         1.496348     0.07081581      0.4722839  
    0.001e6      16.07851         1.787134      0.1019012      0.6177459  
   0.0015e6      14.98046         2.128326       0.154004      0.8355745  
    0.002e6      13.84486         2.404724      0.2027653       1.011373  
    0.003e6       12.4844         2.781451      0.3062267       1.350121  
    0.004e6      11.57318         3.051701      0.4001947       1.639731  
    0.005e6      10.73562         3.313177      0.4891675       1.856355  
    0.007e6       9.58225         3.670356      0.6684435       2.253109  
     0.01e6      8.579828         4.098518      0.8762787       2.727527  
    0.015e6      7.549339         4.431772       1.140644       3.272416  
     0.02e6      6.726511         4.722774       1.256568       3.581797  
     0.03e6      5.841563         4.969944       1.308383        3.96397  
     0.04e6      5.240826         5.059235       1.237347        3.96397  
     0.05e6      4.843996         4.996484       1.153954        3.96397  
     0.07e6      4.111991         4.867158      0.9802163       3.809027  
      0.1e6      3.484484         4.509339      0.7716791       3.490994  
     0.15e6      2.946697         3.916923      0.5707824       2.977514  
      0.2e6      2.551036         3.497634      0.4598609       2.616267  
      0.3e6      1.996957         2.816555      0.3371416       2.111281  
      0.4e6      1.703884         2.339949      0.2650461       1.761697  
      0.5e6      1.481875         2.030614      0.2172258       1.537105  
      0.7e6       1.20467         1.632541      0.1636376       1.204324  
        1e6     0.9112259         1.237131      0.1216154      0.9187211  
      1.5e6     0.6763773         0.889429     0.08616251      0.6803951  
        2e6     0.5531042        0.7011678     0.06801339      0.5459742  
        3e6     0.3534713        0.5006367      0.0491763      0.4011587  
        4e6     0.2413547         0.384088     0.03873599      0.3129419  
        5e6     0.1794529        0.3203371     0.03246838      0.2598089  
        7e6     0.1181128        0.2405931      0.0245702      0.1975497  
       10e6    0.06608287        0.1664329     0.01814814      0.1445554  

   
