#  Energy      Elastic	       Ionisation  ElectronicExc   ChargeTransfer
 0.000001e6  74.5080349762              0             0     52.4698060195 
 0.000005e6  52.0776049064              0             0	    40.7766212755 
 0.000007e6  48.3204505145              0             0	    38.6829267524 
  0.00001e6  44.6332340527              0  9.6424155E-5	    36.5807765516 
0.0000126e6  33              0.00001       0.0003681338	    35.2800521565 
  0.00005e6  31.1965270516   0.0777707393  0.0042765727	    28.4285493804 
  0.00007e6  28.9458442708   0.1183790594  0.0063666469	    26.9688723332 
   0.0001e6     26.78848        0.1820227  0.009495755           25.77303   
  0.00015e6     24.34483        0.2821833   0.01480712            23.7647   
   0.0002e6     22.91995        0.3800542   0.01998264           22.59226   
   0.0003e6     20.88267        0.5306767   0.03015905           21.55406   
   0.0004e6     19.62456         0.646698   0.04099164           20.63433   
   0.0005e6     18.51138        0.7536235   0.05120767           19.73438   
   0.0007e6     17.33198        0.9153792   0.07081581           18.40017   
    0.001e6     16.07851         1.080556    0.1019012            17.0756   
   0.0015e6     14.98046         1.319873     0.154004           15.46935   
    0.002e6     13.84486          1.49996    0.2027653           15.19613   
    0.003e6      12.4844         1.771706    0.3062267           14.39716   
    0.004e6     11.57318         1.993262    0.4001947           13.39848   
    0.005e6     10.73562         2.206294    0.4891675           12.83221   
    0.007e6      9.58225         2.552262    0.6684435            11.8798   
     0.01e6     8.579828         2.927193    0.8762787           10.57727   
    0.015e6     7.549339         3.411481     1.140644           8.946148   
     0.02e6     6.726511         3.766414     1.256568           7.442481   
     0.03e6     5.841563         4.141581     1.308383            5.35641   
     0.04e6     5.240826         4.324609     1.237347           3.849238   
     0.05e6     4.843996         4.396865     1.153954           2.857806   
     0.07e6     4.111991         4.391909    0.9802163           1.589144   
      0.1e6     3.484484         4.256808    0.7716791          0.6948026   
     0.15e6     2.946697         3.830603    0.5707824          0.2187664   
      0.2e6     2.551036          3.54184    0.4598609         0.08131159   
      0.3e6     1.996957         3.068442    0.3371416          0.0188895   
      0.4e6     1.703884         2.674659    0.2650461        0.006956938   
      0.5e6     1.481875          2.31682    0.2172258        0.003038896   
      0.7e6      1.20467         1.799408    0.1636376        0.000912159   
        1e6    0.9112259         1.346926    0.1216154       0.0002646788   
      1.5e6    0.6763773        0.9903262   0.08616251                  0   
        2e6    0.5531042        0.7850269   0.06801339                  0   
        3e6    0.3534713        0.5503555    0.0491763                  0   
        4e6    0.2413547        0.4268547   0.03873599                  0   
        5e6    0.1794529        0.3584586   0.03246838                  0   
        7e6    0.1181128        0.2739122    0.0245702                  0   
       10e6   0.06608287        0.2002026   0.01814814                  0   
